ft53.atsp	CreateRandom/_2opt/AcceptBest	30	30033931	24.04	0.7985	0.8015	0.8108	11553	14273	16909	0.3383	0.4516	0.5701	
ft70.atsp	CreateRandom/_2opt/AcceptBest	30	30052291	30.43	1.0046	1.0144	1.0687	51320	54026	56275	0.2040	0.2586	0.3076	
ftv170.atsp	CreateRandom/_2opt/AcceptBest	30	30166531	64.36	2.0611	2.1452	2.2475	11469	12398	13423	0.5034	0.5238	0.5709	
ftv33.atsp	CreateRandom/_2opt/AcceptBest	30	30000991	20.68	0.6802	0.6894	0.7241	1679	2148	2745	0.3441	0.5028	0.6024	
ftv35.atsp	CreateRandom/_2opt/AcceptBest	30	30005881	21.40	0.6958	0.7132	0.7422	2095	2443	2874	0.3783	0.4942	0.5962	
ftv38.atsp	CreateRandom/_2opt/AcceptBest	30	30011101	22.16	0.7065	0.7386	0.7638	2100	2545	2903	0.3833	0.5038	0.5781	
ftv44.atsp	CreateRandom/_2opt/AcceptBest	30	30026071	23.06	0.7451	0.7685	0.7929	2541	2950	3443	0.4430	0.5251	0.6059	
ftv47.atsp	CreateRandom/_2opt/AcceptBest	30	30030211	24.12	0.7692	0.8040	0.8329	2995	3465	3937	0.4151	0.4949	0.5713	
ftv55.atsp	CreateRandom/_2opt/AcceptBest	30	30026731	24.98	0.8046	0.8328	0.8711	2930	3565	4291	0.4161	0.5177	0.6251	
ftv64.atsp	CreateRandom/_2opt/AcceptBest	30	30058591	28.97	0.9494	0.9658	1.0092	3711	4170	4774	0.4476	0.5198	0.5812	
ftv70.atsp	CreateRandom/_2opt/AcceptBest	30	30066781	31.49	1.0098	1.0497	1.0682	4024	4677	5676	0.4316	0.5209	0.6223	
kro124p.atsp	CreateRandom/_2opt/AcceptBest	30	30124741	39.22	1.2424	1.3073	1.4208	48994	57546	66334	0.6701	0.6975	0.7419	
p43.atsp	CreateRandom/_2opt/AcceptBest	30	30014491	22.44	0.7265	0.7479	0.7926	5621	5632	5664	0.6745	0.7798	0.8012	
rbg323.atsp	CreateRandom/_2opt/AcceptBest	30	31008631	111.75	3.5513	3.7249	4.2158	4860	5048	5222	0.1649	0.1856	0.2159	
rbg358.atsp	CreateRandom/_2opt/AcceptBest	30	30502111	121.99	3.8699	4.0664	4.3722	5479	5754	6014	0.1397	0.1665	0.2107	
rbg403.atsp	CreateRandom/_2opt/AcceptBest	30	31434421	163.48	5.1503	5.4493	6.1435	6424	6663	6928	0.1004	0.1365	0.1654	
rbg443.atsp	CreateRandom/_2opt/AcceptBest	30	32162161	197.29	6.3637	6.5762	6.7625	7125	7335	7592	0.0898	0.1137	0.1389	
ry48p.atsp	CreateRandom/_2opt/AcceptBest	30	30030211	24.43	0.7741	0.8145	0.8288	15327	16802	19808	0.6326	0.6880	0.7439	
